ID,Area,Feature,User Story,Expected Behavior,Code Ref,Status,Test Result,Errors Found,Fixed
U46,UI,Camera dock,"As a player, I want orbit/zoom/reset controls so that I can frame the shot how I like","Right-edge #cam buttons rotate left/right, zoom in/out, reset view; wheel also zooms",boot ~4118,Documented,,,
U47,UI,Sound dock + audio panel,"As a player, I want mute and volume control so that I can tune master/music/sfx","#snd SND/OFF button toggles a panel with Master/Music/SFX sliders, ON/OFF + Track buttons; persisted",audioUI ~3338,Documented,,,
U48,UI,Daily result card,"As a player, I want a rich finish card so that I see my score, verdict, ghost duel, record and can share","showDailyCard: strokes/verdict bar, head-to-head, difficulty, course record, leaderboard, teams, share, GIF, replay, countdown",showDailyCard ~3669,Documented,,,
U49,UI,Scorecard modal,"As a player, I want a hole-by-hole card after a nine so that I see par/you/best and total","showScorecard: blurred modal, HOLE/PAR/YOU/BEST rows + TOTAL vs par, CHANGE NINE / LEVEL SELECT buttons",showScorecard ~2233,Documented,,,
U50,UI,Champions modal,"As a player, I want a persistent ladder with tabs so that I can compare players/teams by week or all-time","showChampions: PLAYERS/TEAMS + THIS WEEK/ALL-TIME toggles, ranked rows, own row highlighted, SHARE MY RANK",showChampions ~4052,Documented,,,
U51,UI,How-to / name onboarding,"As a new player, I want a quick how-to and name prompt so that I understand the slingshot and join the board","showHowTo: first-time/unnamed modal with name input + slingshot tip + PLAY button; once per device",showHowTo ~3504,Documented,,,
U52,UI,Team Ball / Best Ball finish cards,"As friends, I want a team result card so that we see who hit what and can share","teamBallFinish/bestBallFinish show breakdown + winner, SHARE RESULT, NEXT HOLE/NEW TEAM/BACK; turn badge during play",teamBallFinish ~3940,Documented,,,
U53,UI,No-chrome visual rule,"As a player, I want clean text-on-world UI so that nothing looks boxed, outlined or cluttered","All overlays use blurred backdrops, white/marigold text, no strokes/shadows/boxes, no emoji labels",game.html:33,Documented,,,
U54,UI,Loading splash,"As a player, I want a branded loading screen so that startup feels intentional","#load shows GUNSLINGERS / PINBALL GOLF title + spinner over dark bg, fades out when ready",game.html:57,Documented,,,
U55,UI,Installable PWA,"As a player, I want to install the game to my home screen so that it runs full-screen and offline","manifest.json (standalone, portrait, icons), apple-touch-icon, network-first service worker caches the shell",manifest.json/sw.js,Documented,,,
U56,UI,Social-unfurl link previews,"As a player, I want rich link previews so that shared daily links look enticing","og/twitter meta give title, posse/ladder description, og-daily.jpg 1200x630 summary_large_image",game.html:11,Documented,,,
O01,Owner,Owner passcode gate,"As an owner, I want to unlock owner.html with a passcode so that only I can set the daily","Gate takes a password; unlock() probes a gated saveBank+deleteBank to verify; wrong shows Wrong passcode, success calls enter()",owner.html unlock(),Documented,,,
O02,Owner,Owner session persistence,"As an owner, I want the studio to remember my passcode for the session so that I dont re-enter it","enter() saves passcode to sessionStorage + localStorage pg_ownerMode=1; auto-unlock IIFE re-enters if present",owner.html enter() ~292,Documented,,,
O03,Owner,Set/jump to daily date,"As an owner, I want to pick any UTC date so that I can publish or inspect a daily ahead of time","Date input defaults to today; Tomorrow advances one UTC day; onchange triggers refreshDayStatus()",owner.html setTomorrow(),Documented,,,
O04,Owner,Day-status / auto-hole preview,"As an owner, I want to see what plays on a chosen date so that I know whether to override","refreshDayStatus fetches published daily; if none shows the date-seeded auto hole; if published shows title + Unpublish",owner.html refreshDayStatus(),Documented,,,
O05,Owner,Generate 3 wacky candidates,"As an owner, I want 3 brand-new procedural holes per click so that the daily is never repeated","propose() loads hidden game.html?gen=1 iframe, calls PG.__proposeWacky(3); renders name/par + Preview/Publish/Bank per hole; Reroll",owner.html propose(),Documented,,,
O06,Owner,Procedural hole generator,"As an owner, I want each generated hole to be a weird structure-packed shape so that dailies feel fresh","genWacky(seed) builds a 4-7 waypoint winding centerline, width-fn, pinch-aware obstacle plan via isl(); random name/par/mood",genWacky ~4207,Documented,,,
O07,Owner,Preview a candidate hole,"As an owner, I want to play-test a candidate before publishing so that I know its good","previewJson stashes hole JSON to localStorage pg_preview and opens game.html?preview=1 which loads it live",previewJson(),Documented,,,
O08,Owner,Auto-test beatability,"As an owner, I want a candidate verified beatable so that I never publish an impossible hole","doPublishJson runs PG.__testHole(json,10) headless bot; if beatable publishes, else confirms publish anyway",PG.__testHole ~4324,Documented,,,
O09,Owner,Publish a hole as the daily,"As an owner, I want to set a dates daily so that all players get my chosen hole","doPublishJson calls publishDaily(pass,day,title,null,holeJson) writing hole_json to daily table; refreshes status",net.publishDaily,Documented,,,
O10,Owner,Bank a hole for later,"As an owner, I want to save a candidate without publishing so that I can schedule it later","doBankJson calls saveBank(pass,title,idx,json,forDay); banked rows render in Bank panel",net.saveBank,Documented,,,
O11,Owner,Bank list manage,"As an owner, I want to manage banked holes so that I can reuse or remove them","loadBank fetches bank rows (filters __probe__); each offers Preview, Publish, Delete",owner.html loadBank(),Documented,,,
O12,Owner,Auto-fill next 7 days,"As an owner, I want to publish a fresh hole for each of the next N days in one click so that a week is set fast","autoFill(7) generates N holes, tests each beatable (up to 3x), publishDaily for each consecutive UTC date; confirms overwrite",owner.html autoFill(),Documented,,,
O13,Owner,Unpublish a daily,"As an owner, I want to remove a published daily so that the date reverts to the auto hole","refreshDayStatus shows Unpublish calling unpublishDaily(pass, day)",net.unpublishDaily,Documented,,,
O14,Owner,Schedule list,"As an owner, I want to see all published dailies so that I know which dates are filled","loadSched fetches the daily table and lists day + title rows",owner.html loadSched(),Documented,,,
O15,Owner,Engagement panel,"As an owner, I want live engagement stats so that I know if the daily is alive","loadEngagement shows players/plays today + 7d, teams total, live/asleep line + top-3 teams this week",owner.html loadEngagement(),Documented,,,
O16,Owner,Avoid recently-used indices,"As an owner, I want candidates to avoid recently published holes so that rotation stays varied","loadRecent fetches the schedule into recentIdx before the first propose",owner.html loadRecent(),Documented,,,
O17,Owner,In-game owner mode gate,"As an owner, I want hidden admin/editor tools only on my device so that players get a clean game","Boot reads ?owner=1/?edit to set pg_ownerMode; ?owner=0 clears; EDIT LEVEL + OWNER menu render only when ownerMode",boot ~4126,Documented,,,
O18,Owner,EDIT LEVEL button (in-game),"As an owner, I want to jump into the editor on the current hole so that I can tweak it in place","EDIT LEVEL: draft->edEnter; built-in->editBuiltin(hi); custom->editCustom; else edEnter",EDIT LEVEL ~4132,Documented,,,
O19,Owner,OWNER menu (in-game),"As an owner, I want a quick menu of admin actions so that everything is reachable","OWNER button toggles menu: Generate daily, Daily Studio, Level Editor, Jump to hole, Reset daily, Hard reload, build label",ownRow ~4140,Documented,,,
O20,Owner,In-game Generator Studio,"As an owner, I want to generate/preview/edit/publish 3 holes without leaving the game so that I set the daily fast","genStudio overlay shows 3 genWacky holes with Preview, Edit, Publish-as-today, Regenerate (auto-tests then publishDaily)",genStudio ~4276,Documented,,,
O21,Owner,Jump to any hole (0-35),"As an owner, I want to load any hole by number so that I can inspect/test any level","OWNER menu prompt loads hole N (0-35) clearing daily/archive via loadHole(n)",ownRow ~4146,Documented,,,
O22,Owner,Reset daily / hard reload,"As an owner, I want to replay or force-refresh so that I can re-test the daily","Reset clears pg_daily_done and reloads; Hard reload replaces with a cache-busting query",ownRow ~4147,Documented,,,
O23,Owner,Edit a built-in hole,"As an owner, I want to open any built-in hole in the editor so that I can modify the shipped layout","editBuiltin(i) loads any override or original HOLES[i](), normalizes theme/phys/turf, marks _ov=i, opens editor",editBuiltin ~2287,Documented,,,
O24,Owner,Save edits over a built-in,"As an owner, I want built-in edits to play every time so that changes are permanent on that device","edSave Save into Level #N calls saveOver(oi, edSerialize) to pg_over; builtinHole loads it; Revert clears it",saveOver ~2257,Documented,,,
O25,Owner,Edit-via-URL (?edit=N/?preview),"As an owner, I want to deep-link into editing/previewing a hole so that the Studio can hand off","?edit=N loads hole N then editBuiltin; ?preview loads pg_preview JSON live",boot ~4158,Documented,,,
O26,Owner,Level editor canvas + brushes,"As an owner, I want a 2D top-down editor so that I can place and arrange everything","edEnter/edInit build top bar, left palette (31 tools), right inspector, modal; ghost cursor + crosshair",edEnter ~2625,Documented,,,
O27,Owner,Tee placement,"As an owner, I want to set where the ball starts so that the hole begins where I choose","tee brush places/moves the tee; drag on map; cannot be deleted",ED_TOOLS tee,Documented,,,
O28,Owner,Cup placement,"As an owner, I want to set the hole so that players know where to sink","cup brush places/moves the cup; size set via Physics cup size; cannot be deleted",ED_TOOLS cup,Documented,,,
O29,Owner,Wall tool (2-click + path edit),"As an owner, I want to draw walls so that I can shape barriers and corridors","wall brush clicks two points; Shift snaps 45deg; Select grabs a wall-group with rounding/simplify/bounce/height",wallgroup ~3059,Documented,,,
O30,Owner,Draw level shape (organic green),"As an owner, I want to draw a freeform outline so that the green follows a wacky shape","draw brush: closed loop sets d.shape polygon + curb walls; open line makes a channel of brush width",edFinishDraw ~2848,Documented,,,
O31,Owner,Shape tool (click corners),"As an owner, I want to click polygon corners so that I can make a precise custom green outline","shape brush drops corners; clicking the first ring closes -> sets d.shape + curve curb walls",edClosePoly ~2819,Documented,,,
O32,Owner,Island tool,"As an owner, I want to draw floating islands so that I can build multi-island holes","island brush drag-draws a loop; edFinishIsland smooths (chaikin), calls d.island(poly) + curb + noBox; bounds expand",edFinishIsland ~2865,Documented,,,
O33,Owner,Preset hole shapes,"As an owner, I want one-click course shapes so that I can start from a useful layout","Shapes modal applies S-Curve, Z-Bend, W-Zigzag, Round Arena, Two/Three-Tier Drop; undoable",applyShape ~3195,Documented,,,
O34,Owner,Bumper placement,"As an owner, I want kick pads so that the ball pings around pinball-style","bumper brush; sliders radius + bounce power",ED_PARAMS.bumper,Documented,,,
O35,Owner,Booster placement,"As an owner, I want a fixed-direction fling so that I can launch the ball into a loop/jump","booster brush; sliders angle, speed, radius",ED_PARAMS.booster,Documented,,,
O36,Owner,Flipper L/R placement,"As an owner, I want pinball flippers so that players can flip the ball","flipL/flipR brushes; sliders length, rotation, paddle speed, flip power",ED_TOOLS flipL/R,Documented,,,
O37,Owner,Windmill placement,"As an owner, I want spinning blades so that timing matters","windmill brush; sliders radius, blades (2-8), spin",ED_PARAMS.windmill,Documented,,,
O38,Owner,Loop-de-loop placement,"As an owner, I want a vertical loop so that the ball rides up and over","loop brush; sliders radius, angle",ED_PARAMS.loop,Documented,,,
O39,Owner,Drop hole/tube placement,"As an owner, I want a drop hole / slide tube so that I can build two-level holes","warp brush; radius slider; warpExit draggable to a lower tier; tube flag persisted (slide)",ED_PARAMS.warp,Documented,,,
O40,Owner,Portal placement (multi-exit),"As an owner, I want a teleport with random exits so that shots get unpredictable","portal brush; radius; add/remove exit; 2+ exits -> random one; each exit draggable",portal panel ~3083,Documented,,,
O41,Owner,Fire hoop placement,"As an owner, I want an airborne flaming ring so that players score by jumping through","firering brush; sliders radius, height off ground, points",ED_PARAMS.firering,Documented,,,
O42,Owner,Enemy placement,"As an owner, I want hazard creatures so that levels have moving threats","enemy brush; type (spiky/blob/ghost), behavior (patrol/chase/static), on-hit (knockback/reset/stun) + size/speed",ED_PARAMS.enemy,Documented,,,
O43,Owner,Coin placement,"As an owner, I want collectible coins so that I can lay scoring trails","coin brush; value slider (1-20)",ED_PARAMS.coin,Documented,,,
O44,Owner,Power-up placement,"As an owner, I want pickups so that players get magnet/shield/slow/gem/jump effects","powerup brush; kind select (magnet/shield/slow/gem/jump)",ED_PARAMS.powerup,Documented,,,
O45,Owner,Laser gate placement,"As an owner, I want a timed beam so that players must time their run","laser brush (2 clicks); sliders period, on-frac, phase",ED_PARAMS.laser,Documented,,,
O46,Owner,Sliding gate placement,"As an owner, I want a bar that opens/closes a gap so that timing passages exist","gate brush (2 clicks); sliders bar size, slide speed, height",ED_PARAMS.gate,Documented,,,
O47,Owner,Conveyor placement,"As an owner, I want a drag current so that the ball is swept off-line","conveyor brush; sliders width, length, direction, strength",ED_PARAMS.conveyor,Documented,,,
O48,Owner,Pendulum placement,"As an owner, I want a swinging wrecking ball so that the lane has a moving hazard","pendulum brush; sliders arm length, swing amp, speed, ball size",ED_PARAMS.pendulum,Documented,,,
O49,Owner,Turntable placement,"As an owner, I want a spinning disc so that shots curve/randomize","turntable brush; sliders radius, spin (signed direction)",ED_PARAMS.turntable,Documented,,,
O50,Owner,Terrain features (hill/funnel/ramp/tier),"As an owner, I want elevation features so that the green has slopes, bowls, jumps, multi-levels","hill (radius/height), funnel (radius/depth), ramp (start-z/end-z/height), tier (step height, neg=lower)",ED_PARAMS hill/etc,Documented,,,
O51,Owner,Paint terrain up/down,"As an owner, I want to brush-raise/lower the ground so that I can sculpt freeform elevation","raise/lower brushes paint terrain with brush-size radius; drag to apply; undoable",ED_TOOLS raise/lower,Documented,,,
O52,Owner,Select/move/duplicate/delete,"As an owner, I want to grab placed items so that I can reposition, copy or remove them","select brush; drag to move; Duplicate (Ctrl+D); Delete (Del/right-click); tee/cup protected",edDelete ~2878,Documented,,,
O53,Owner,Smooth/round/simplify path,"As an owner, I want to clean up hand-drawn walls so that curves are smooth or corners sharp","Smooth (chaikin) re-traces wall chains; wall-group rounding (chaikin) + simplify (Douglas-Peucker) sliders",smoothWalls ~3164,Documented,,,
O54,Owner,Grid snap + brush size,"As an owner, I want snapping and brush sizing so that placement is precise","grid-snap ON/OFF; brush-size slider (40-520) controls draw/erase/raise/lower/island radius",edInit ~3021,Documented,,,
O55,Owner,Level/bounds/par/name inspector,"As an owner, I want to set name, par, width, length, wall height, slope tilt so that the frame is configured","Inspector LEVEL: name, par, width/length/wall-height, tilt L-R / tee-cup sliders, box-vs-custom toggle",edPanel LEVEL ~3092,Documented,,,
O56,Owner,Theme + physics tuning,"As an owner, I want to pick a terrain theme and tune physics so that the hole plays how I want","Theme select (sets physics+turf+sky/fog); sliders gravity, friction, ground/wall bounce, bumper kick, flip power, max drive, cup size",edPanel PHYSICS ~3107,Documented,,,
O57,Owner,Cinematic mood assignment,"As an owner, I want to assign a lighting look so that the hole has a distinct mood","d.mood persists in serialize/deserialize; generated holes get a random mood; FX picker chooses among ~15 looks",mood serialize ~3215,Documented,,,
O58,Owner,3D preview toggle in editor,"As an owner, I want to see the level in 3D while editing so that I can judge the real look","3D button toggles edEnter3D/edExit3D; builds live scene, camera orbit; edLiveRefresh batches rebuilds",edEnter3D ~2593,Documented,,,
O59,Owner,Test/play the draft,"As an owner, I want to play my draft instantly so that I can verify it before saving","TEST button (edPlay) loads the draft as a live playable hole with a TEST banner",edPlay ~2879,Documented,,,
O60,Owner,New / Clear level,"As an owner, I want to start blank or wipe items so that I can restart cleanly","New resets to newDraft (confirm); Clear wipes placed items keeping shape/tee/cup/theme",edClearAll ~2638,Documented,,,
O61,Owner,Save to MY LEVELS,"As an owner, I want to save custom levels locally so that I can replay/manage them","edSave/edLevels store edSerialize to pg_levels; MY LEVELS modal lists, loads, renames, deletes; item counts",edLevels ~3135,Documented,,,
O62,Owner,Publish edited layout as daily,"As an owner, I want to publish my hand-edited hole as the live daily so that custom edits reach everyone","edSave OWNER block (ownerMode+NET): date + passcode, auto-tests beatability, then publishDaily(custom json) or saveBank",edSave owner ~3256,Documented,,,
O63,Owner,Export / import level JSON,"As an owner, I want to export/import level JSON so that I can back up or share layouts","edExport copies/downloads edSerialize JSON; edImport pastes or file-loads JSON -> edDeserialize",edExport ~3297,Documented,,,
O64,Owner,Serialize/deserialize round-trip,"As an owner, I want every element persisted so that nothing is lost on save/reload","edSerialize/edDeserialize round-trip name/par/bounds/tee/cup/walls/all obstacles/terrain/shape/islands/theme/phys/turf/mood/multiball",edSerialize ~3215,Documented,,,
O65,Owner,Builder notes log,"As an owner, I want to jot whats wrong so that the developer can fix it","Notes modal saves dated notes (with build) to pg_notes and lists past notes",edNotes ~2985,Documented,,,
O66,Owner,Headless beatability bot,"As an owner, I want automated play-testing so that published holes are verified solvable","testDraftBeatable/PG.__testHole/PG.__beatN run an aiming bot up to N tries returning beatable+strokes; restores state",testDraftBeatable ~3219,Documented,,,
O67,Owner,Backend RPC surface (gated),"As an owner, I want passcode-gated backend calls so that only I can mutate dailies/bank","PGNet wraps publish_daily, unpublish_daily, save_bank, delete_bank (all take p_pass) + read-only fetchBank/fetchSchedule/engagement",net.js ~46,Documented,,,
